ncaa_id,team,player_id,name,year,hometown,high_school,previous_school,height,position,jersey,url,season
697,Texas A&M,11793,Sydney Bowles,Sophomore,"Lithonia, Georgia",Woodward Academy,,"6'0""",Guard,00,https://www.12thman.com/sports/womens-basketball/roster/sydney-bowles/11793,2023-24
697,Texas A&M,12512,Endyia Rogers,Graduate Student,"Dallas, Texas",Bishop Lynch,Oregon,"5'7""",Guard,1,https://www.12thman.com/sports/womens-basketball/roster/endyia-rogers/12512,2023-24
697,Texas A&M,11792,Janiah Barker,Sophomore,"Marietta, Georgia",Montverde Academy,,"6'4""",Forward,2,https://www.12thman.com/sports/womens-basketball/roster/janiah-barker/11792,2023-24
697,Texas A&M,11796,Tineya Hylton,Junior,"Toronto, Ontario, Canada",Royal Crown Academic School,Georgia,"5'7""",Guard,3,https://www.12thman.com/sports/womens-basketball/roster/tineya-hylton/11796,2023-24
697,Texas A&M,11794,Kay Kay Green,Senior,"Chicago, Ill.",Whitney Young,,"5'6""",Guard,4,https://www.12thman.com/sports/womens-basketball/roster/kay-kay-green/11794,2023-24
697,Texas A&M,12513,Aicha Coulibaly,Senior,"Bamako, Mali",IMG Academy,Auburn,"6'0""",Guard,5,https://www.12thman.com/sports/womens-basketball/roster/aicha-coulibaly/12513,2023-24
697,Texas A&M,12516,Erica Moon,Freshman,"Atlanta, Georgia",St. Francis,,"5'6""",Guard,10,https://www.12thman.com/sports/womens-basketball/roster/erica-moon/12516,2023-24
697,Texas A&M,12519,Vanessa Saidu,Freshman,"Minneapolis, Minnesota",Robbinsdale Cooper,,"6'2""",Forward,11,https://www.12thman.com/sports/womens-basketball/roster/vanessa-saidu/12519,2023-24
697,Texas A&M,11800,Jada Malone,Junior,"Spring, Texas",The Village School,,"6'3""",Forward,13,https://www.12thman.com/sports/womens-basketball/roster/jada-malone/11800,2023-24
697,Texas A&M,11797,Maliyah Johnson,Redshirt Junior,"Chicago, Ill.",Summer Creek,,"6'3""",Forward,14,https://www.12thman.com/sports/womens-basketball/roster/maliyah-johnson/11797,2023-24
