ncaa_id,team,player_id,name,year,hometown,high_school,previous_school,height,position,jersey,url,season
5,Akron,,Annika Corcoran,So.,"Painesville, Ohio",Gilmour,,5-6,G,0,https://gozips.com/sports/womens-basketball/roster/annika-corcoran/7361,2021-22
5,Akron,,Kendall Miller,Sr.,"Akron, Ohio",St. Vincent-St. Mary,,5-9,G,1,https://gozips.com/sports/womens-basketball/roster/kendall-miller/7356,2021-22
5,Akron,,Alanna Carter,R-Fr.,"Mason, Ohio",Mason,,5-9,G,2,https://gozips.com/sports/womens-basketball/roster/alanna-carter/7351,2021-22
5,Akron,,Emma Tecca,R-So.,"Tallmadge, Ohio",Archbishop Hoban,,5-10,G,3,https://gozips.com/sports/womens-basketball/roster/emma%20-tecca/7360,2021-22
5,Akron,,Abby Carter,Fr.,"Geneva, Ohio",Eastlake North,,5-10,G,5,https://gozips.com/sports/womens-basketball/roster/abby-carter/7363,2021-22
5,Akron,,Alexis Stewart,So.,"Hamilton, Ontario",St. Thomas More,,5-10,G,10,https://gozips.com/sports/womens-basketball/roster/alexis%20-stewart/7359,2021-22
5,Akron,,Sabhbh Edwards Murphy,R-Fr.,"County Clare, Ireland",Kilrush Community School,,6-2,F,11,https://gozips.com/sports/womens-basketball/roster/sabhbh%20-edwards%20murphy/7353,2021-22
5,Akron,,Lonasia Brewer,Jr.,"Akron, Ohio",Archbishop Hoban,,5-11,F,13,https://gozips.com/sports/womens-basketball/roster/lonasia%20-brewer/7349,2021-22
5,Akron,,Rachel Martindale,Jr.,"Pittsburgh, Pa.",North Allegheny Senior High,,5-8,G,14,https://gozips.com/sports/womens-basketball/roster/rachel%20-martindale/7355,2021-22
5,Akron,,Gabrielle Brown-Mitchell,Sr.,"Solon, Ohio",Solon,,5-7,G,20,https://gozips.com/sports/womens-basketball/roster/gabrielle%20-brown-mitchell/7350,2021-22
5,Akron,,Molly Neitzel,Jr.,"Rocky River, Ohio",St. Joseph Academy,,6-0,G,21,https://gozips.com/sports/womens-basketball/roster/molly-neitzel/7358,2021-22
5,Akron,,Zakia Rasheed,Fr.,"Avon, Ind.",Bishop Chatard,,5-8,G,23,https://gozips.com/sports/womens-basketball/roster/zakia-rasheed/7362,2021-22
5,Akron,,Jordyn Dawson,R-Sr.,"Huntington, W Va.",Huntington,,5-11,F,25,https://gozips.com/sports/womens-basketball/roster/jordyn-dawson/7352,2021-22
5,Akron,,Layne Ferrell,R-So.,"Franklin, Ohio",Franklin,,6-2,G,30,https://gozips.com/sports/womens-basketball/roster/layne-ferrell/7354,2021-22
5,Akron,,Colleen Neitzel,Sr.,"Rocky River, Ohio",St. Joseph Academy,,6-1,F,33,https://gozips.com/sports/womens-basketball/roster/colleen%20-neitzel/7357,2021-22
5,Akron,,Reagan Bass,Fr.,"Strongsville, Ohio",Strongsville,,6-1,F,34,https://gozips.com/sports/womens-basketball/roster/reagan-bass/7364,2021-22
